high,high,2,4,med,low,unacc
high,high,4,more,small,high,acc
high,high,4,more,big,low,unacc
high,low,2,more,big,high,acc
vhigh,low,3,2,med,med,unacc
low,high,2,2,small,low,unacc
med,med,4,more,med,high,vgood
low,low,3,2,big,med,unacc
vhigh,low,2,2,small,low,unacc
vhigh,high,4,4,med,low,unacc
low,low,2,2,med,med,unacc
vhigh,low,4,more,small,high,acc
high,low,2,4,big,med,acc
low,vhigh,3,more,big,low,unacc
high,low,5more,2,big,med,unacc
vhigh,high,2,more,med,high,unacc
med,med,2,2,small,low,unacc
high,low,5more,4,med,high,acc
low,low,3,more,med,high,vgood
low,low,2,2,big,med,unacc
med,high,4,2,big,high,unacc
low,low,2,2,small,high,unacc
vhigh,high,5more,4,med,med,unacc
med,vhigh,2,2,big,low,unacc
low,vhigh,4,4,big,low,unacc
vhigh,low,3,more,big,low,unacc
med,vhigh,3,4,small,low,unacc
high,high,3,4,med,med,unacc
low,high,5more,2,big,low,unacc
med,high,5more,2,med,med,unacc
high,low,3,4,med,high,acc
high,vhigh,5more,4,med,med,unacc
low,low,5more,2,med,low,unacc
vhigh,vhigh,4,2,big,high,unacc
high,low,3,2,big,high,unacc
